"","period","mean","converge_time","signal","type","good"
"461",5,1,4,15,"SB_10","Correct consensus"
"462",6,1,4,15,"SB_10","Correct consensus"
"463",7,1,4,15,"SB_10","Correct consensus"
"464",8,1,4,15,"SB_10","Correct consensus"
"465",9,1,4,15,"SB_10","Correct consensus"
"466",10,1,4,15,"SB_10","Correct consensus"
"467",11,1,4,15,"SB_10","Correct consensus"
"468",12,1,4,15,"SB_10","Correct consensus"
"469",1,0.9,3,16,"SB_10","Correct consensus"
"470",2,1,3,16,"SB_10","Correct consensus"
"471",3,1,3,16,"SB_10","Correct consensus"
"472",4,1,3,16,"SB_10","Correct consensus"
"473",5,1,3,16,"SB_10","Correct consensus"
"474",6,1,3,16,"SB_10","Correct consensus"
"475",7,1,3,16,"SB_10","Correct consensus"
"476",8,1,3,16,"SB_10","Correct consensus"
"477",9,1,3,16,"SB_10","Correct consensus"
"478",10,1,3,16,"SB_10","Correct consensus"
"479",11,1,3,16,"SB_10","Correct consensus"
"480",12,1,3,16,"SB_10","Correct consensus"
"481",1,0.8,4,17,"SB_10","Correct consensus"
"482",2,1,4,17,"SB_10","Correct consensus"
"483",3,1,4,17,"SB_10","Correct consensus"
"484",4,1,4,17,"SB_10","Correct consensus"
"485",5,1,4,17,"SB_10","Correct consensus"
"486",6,1,4,17,"SB_10","Correct consensus"
"487",7,1,4,17,"SB_10","Correct consensus"
"488",8,1,4,17,"SB_10","Correct consensus"
"489",9,1,4,17,"SB_10","Correct consensus"
"490",10,1,4,17,"SB_10","Correct consensus"
"491",11,1,4,17,"SB_10","Correct consensus"
"492",12,1,4,17,"SB_10","Correct consensus"
"493",1,0.6,4,18,"SB_10","Correct consensus"
"494",2,0.9,4,18,"SB_10","Correct consensus"
"495",3,1,4,18,"SB_10","Correct consensus"
"496",4,1,4,18,"SB_10","Correct consensus"
"497",5,1,4,18,"SB_10","Correct consensus"
"498",6,1,4,18,"SB_10","Correct consensus"
"499",7,1,4,18,"SB_10","Correct consensus"
"500",8,1,4,18,"SB_10","Correct consensus"
"501",9,1,4,18,"SB_10","Correct consensus"
"502",10,1,4,18,"SB_10","Correct consensus"
"503",11,1,4,18,"SB_10","Correct consensus"
"504",12,1,4,18,"SB_10","Correct consensus"
"505",1,0.9,3,19,"SB_10","Correct consensus"
"506",2,1,3,19,"SB_10","Correct consensus"
"507",3,1,3,19,"SB_10","Correct consensus"
"508",4,1,3,19,"SB_10","Correct consensus"
"509",5,1,3,19,"SB_10","Correct consensus"
"510",6,1,3,19,"SB_10","Correct consensus"
"511",7,1,3,19,"SB_10","Correct consensus"
"512",8,1,3,19,"SB_10","Correct consensus"
"513",9,1,3,19,"SB_10","Correct consensus"
"514",10,1,3,19,"SB_10","Correct consensus"
"515",11,1,3,19,"SB_10","Correct consensus"
"516",12,1,3,19,"SB_10","Correct consensus"
"517",1,0.6,3,20,"SB_10","Breakdown"
"518",2,0.5,3,20,"SB_10","Breakdown"
"519",3,0.6,3,20,"SB_10","Breakdown"
"520",4,0.6,3,20,"SB_10","Breakdown"
"521",5,0.6,3,20,"SB_10","Breakdown"
"522",6,0.6,3,20,"SB_10","Breakdown"
"523",7,0.6,3,20,"SB_10","Breakdown"
"524",8,0.6,3,20,"SB_10","Breakdown"
"525",9,0.6,3,20,"SB_10","Breakdown"
"526",10,0.6,3,20,"SB_10","Breakdown"
"527",11,0.6,3,20,"SB_10","Breakdown"
"528",12,0.6,3,20,"SB_10","Breakdown"
"529",1,0.6,4,21,"SB_10","Correct consensus"
"530",2,0.9,4,21,"SB_10","Correct consensus"
"531",3,1,4,21,"SB_10","Correct consensus"
"532",4,1,4,21,"SB_10","Correct consensus"
"533",5,1,4,21,"SB_10","Correct consensus"
"534",6,1,4,21,"SB_10","Correct consensus"
"535",7,1,4,21,"SB_10","Correct consensus"
"536",8,1,4,21,"SB_10","Correct consensus"
"537",9,1,4,21,"SB_10","Correct consensus"
"538",10,1,4,21,"SB_10","Correct consensus"
